scenario_key,importer,commodity,year,shock_rank,baseline_imports,supplier_count,largest_supplier_share,top3_supplier_share,top5_supplier_share,HHI,entropy,normalized_entropy,import_dependence,calorie_share,protein_share,lost_supply,shock_loss_share,remaining_import_share,replacement_rate,total_replacement,tier1_replacement,tier2_replacement,tier3_replacement,tier1_replacement_share,tier2_replacement_share,tier3_replacement_share,unreplaced_supply,unreplaced_loss_share,residual_import_share,new_origin_share,new_origin_required,historical_supplier_required,type,resilience_profile,capacity_status
1_Rice_2017_R1,1,Rice,2017,1,560.95,3.0,0.977805508512345,0.9999999999999996,0.9999999999999996,0.9565655721645028,0.1096140625686164,0.0997750195398831,0.0044251470614321,0.1764921349468531,0.1192277294795077,548.5,0.977805508512345,0.0221944914876549,1.0,548.5,548.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2018_R1,1,Rice,2018,1,152.04,3.0,0.8103788476716653,1.0,1.0,0.692645123228417,0.4862629055640905,0.4426155710979765,0.0080226738290941,0.1757231517935258,0.1185868586858685,123.21,0.8103788476716653,0.1896211523283346,1.0,123.21,123.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2019_R1,1,Rice,2019,1,350.61,2.0,0.9822880123213829,1.0,1.0,0.9652034536578208,0.0889957392118107,0.1283937116211267,0.0118105081457769,0.1733060483583124,0.1167785234899328,344.4,0.9822880123213829,0.0177119876786172,1.0,344.4,344.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2020_R1,1,Rice,2020,1,45.42,2.0,0.9995596653456628,1.0,1.0,0.9991197184805412,0.0038431331318599,0.0055444691108103,0.0105833760153154,0.1762366982544316,0.1181888802574631,45.4,0.9995596653456628,0.0004403346543373,1.0,45.4,45.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2021_R1,1,Rice,2021,1,12.68,5.0,0.4014195583596214,0.9195583596214508,0.9999999999999998,0.3381800495576629,1.202487937808744,0.7471477641471185,0.0087442424149449,0.1717984228253342,0.1150588494115059,5.09,0.4014195583596214,0.5985804416403786,1.0,5.09,5.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2022_R1,1,Rice,2022,1,6.07,3.0,0.8237232289950577,0.9999999999999998,0.9999999999999998,0.7078998721668399,0.4882379515408769,0.4444133354204391,0.007805856025043,0.1707375654668579,0.1140274450010891,5.0,0.8237232289950577,0.1762767710049423,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Rice_2023_R1,1,Rice,2023,1,9.08,2.0,0.9911894273127754,1.0,1.0,0.9825341070077044,0.0504615379346428,0.0728006105339394,0.005776328429142,0.1698640583554376,0.1134421974694495,9.0,0.9911894273127754,0.0088105726872246,1.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2010_R1,1,Sugar,2010,1,39590.0,4.0,0.9998737054811822,0.9999747410962364,1.0,0.9997474339308042,0.0013800330029023,0.0009954833847751,-0.0426286509040333,0.069906802728312,0.0003537318712415,39585.0,0.9998737054811822,0.0001262945188178,,,,,,,,,39585.0,0.9998737054811822,0.0001262945188178488,,0,0,capacity_history_insufficient,,capacity_history_insufficient
1_Sugar_2011_R1,1,Sugar,2011,1,87350.0,4.0,0.999072696050372,0.9999885518030908,1.0,0.9981469926202706,0.007678255043609,0.0055386902370477,-0.0122702380306891,0.0709041642797648,0.0003524850193866,87269.0,0.999072696050372,0.0009273039496279,1.0,87269.0,87269.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2012_R1,1,Sugar,2012,1,78784.0,5.0,0.997410641754671,0.9999746141348496,1.0,0.994834433673622,0.0183117992520975,0.0113777605899707,-0.019566780233176,0.0720362619589737,0.0003518648838845,78580.0,0.997410641754671,0.002589358245329,1.0,78580.0,78580.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2013_R1,1,Sugar,2013,1,74923.0,5.0,0.998104720846736,0.9998932237096751,1.0,0.9962158822891508,0.014629361165685,0.0090897331625298,-0.0239138038138889,0.0719920448457813,0.0003498950314905,74781.0,0.998104720846736,0.001895279153264,1.0,74781.0,74781.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2014_R1,1,Sugar,2014,1,94740.74,8.0,0.9984283424427548,0.9999569351052144,0.999997466770895,0.9968612828706322,0.012240088879204,0.0058862385086892,-0.0122135084910181,0.0718207546843011,0.0003469010175763,94591.84,0.9984283424427548,0.0015716575572453,1.0,94591.84,94591.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2015_R1,1,Sugar,2015,1,76182.12,11.0,0.9998552153707458,0.9999787351677796,0.9999948806885396,0.9997104614694974,0.0015813425503427,0.0006594710654303,-0.0198798502481353,0.0712502812829966,0.0003451052571034,76171.09,0.9998552153707458,0.0001447846292541,1.0,76171.09,76171.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2016_R1,1,Sugar,2016,1,50271.72,8.0,0.9995850549772316,0.9999868713463552,0.9999976129720644,0.9991704381549056,0.0037553973533848,0.0018059643794319,-0.0339638255782976,0.0723721701289955,0.0003426222019186,50250.86,0.9995850549772316,0.0004149450227682,1.0,50250.86,50250.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2017_R1,1,Sugar,2017,1,67552.13,11.0,0.9971824722625326,0.9999253909536234,0.999990821903025,0.9943798166972966,0.0202382165334732,0.008439991839116,-0.0224265819801824,0.0711089810519829,0.0003387151405667,67361.8,0.9971824722625326,0.0028175277374673,1.0,67361.8,67361.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2018_R1,1,Sugar,2018,1,58223.59,9.0,0.9988666105954648,0.9999811073140626,0.9999933016840764,0.9977351596163868,0.0096869633423353,0.0044087270105449,-0.0219789329413195,0.0704902121609798,0.0003375337533753,58157.6,0.9988666105954648,0.0011333894045351,1.0,58157.6,58157.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2019_R1,1,Sugar,2019,1,35976.39,7.0,0.9754302752444032,0.999969146431868,0.9999924950780218,0.9520495677853236,0.117424325079954,0.0603441660124751,-0.0094092540498593,0.0703483253393342,0.0003355704697986,35092.46,0.9754302752444032,0.0245697247555967,1.0,35092.46,35092.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2020_R1,1,Sugar,2020,1,30572.38,7.0,0.9987498519905876,0.9999862621097868,0.9999990187221276,0.9975027525922604,0.0097869767317104,0.0050295111192373,-0.0222449351213867,0.0661988335783135,0.0003329264232604,30534.16,0.9987498519905876,0.0012501480094124,1.0,30534.16,30534.16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2021_R1,1,Sugar,2021,1,27034.63,8.0,0.9985562961283362,0.9999596813420416,0.9999959311446096,0.9971164402708312,0.0113982809895726,0.0054814144861051,-0.0124986314315514,0.0662366299824534,0.0004399956000439,26995.6,0.9985562961283362,0.0014437038716638,1.0,26995.6,26995.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2022_R1,1,Sugar,2022,1,70850.23999999999,11.0,0.9998172200969256,0.9999604800209568,0.9999851800078589,0.9996344869652036,0.0019919552713622,0.0008307098704263,-0.0249447390422961,0.0658137905727724,0.000435634937922,70837.29,0.9998172200969256,0.0001827799030743,1.0,70837.29,70837.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sugar_2023_R1,1,Sugar,2023,1,32360.48,6.0,0.995352046693992,0.9999904204140356,0.9999984549054892,0.9907468504234416,0.0299065747582746,0.0166911771763424,-0.0106426080952299,0.0654973474801061,0.0004325727262896,32210.07,0.995352046693992,0.0046479533060078,1.0,32210.07,32210.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sunflower Oil_2010_R1,1,Sunflower Oil,2010,1,18473.0,10.0,0.5107454122232448,0.990634980782764,0.9963189519839764,0.4829632819237672,0.7971484076769354,0.3461971547120568,0.0114014251781472,0.0102223213306007,0.0,9435.0,0.5107454122232448,0.4892545877767552,,,,,,,,,9435.0,0.5107454122232448,0.48925458777675523,,0,0,capacity_history_insufficient,,capacity_history_insufficient
1_Sunflower Oil_2011_R1,1,Sunflower Oil,2011,1,20988.0,12.0,0.4875643224699828,0.989517819706499,0.9949494949494948,0.4208601835116177,0.9851688722082038,0.3964611194920555,-0.0419844264269085,0.0104063063411342,0.0,10233.0,0.4875643224699828,0.5124356775300172,1.0,10233.0,10233.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
1_Sunflower Oil_2012_R1,1,Sunflower Oil,2012,1,23940.0,9.0,0.4994152046783626,0.9922305764411028,0.9979532163742688,0.4424477337872668,0.9206325315117762,0.4189979217453933,-0.0279536240130877,0.0114721948378631,0.0,11956.0,0.4994152046783626,0.5005847953216374,1.0,11956.0,11956.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Type A,Existing-network resilient,capacity_available
